"Time [ms]","Steel_1008 [Wb]","Steel_1008_NoEddy [Wb]","SS430 [Wb]"
19.8999999999999,2.57644176257462,3.01903489889039,2.87855307852565
19.9999999999999,2.58710944585755,3.0348394491736,2.8924748776549
20.0999999999999,2.59782181643351,3.05076721510611,2.90654843334279
20.1999999999999,2.60858152395691,3.06667486229977,2.92078513583471
20.2999999999999,2.61939128617616,3.08256241383712,2.93519785928347
20.3999999999999,2.63025386235993,3.09842989246916,2.94977140239305
20.4999999999999,2.64117249742768,3.1142773208065,2.96431676127349
20.5999999999999,2.65215035468645,3.13010472134027,2.97883392953025
20.6999999999999,2.66319099851359,3.1459121164395,2.99332289141497
20.7999999999999,2.67429808411782,3.1616995283309,3.00778363042895
20.8999999999999,2.6854757866163,3.17746697908587,3.02221612933467
20.9999999999999,2.6967284291528,3.19321449065064,3.03662037016138
21.0999999999999,2.70806121097417,3.20894208481858,3.05099633421884
21.1999999999999,2.71947979229693,3.22464978322857,3.06534400209468
21.2999999999999,2.73099074242091,3.24033760735572,3.07966335367541
21.3999999999999,2.7426022141888,3.25600557853548,3.09395436812903
21.4999999999999,2.75432414947013,3.2716537179727,3.10821702395033
21.5999999999999,2.76607868711733,3.28728204674004,3.12245129897079
21.6999999999999,2.77783219032705,3.30289058577751,3.1366571703708
21.7999999999999,2.78957353749462,3.318479355892,3.15083461470286
21.8999999999999,2.80129720440424,3.33404837774698,3.16498360792712
21.9999999999999,2.81299991701848,3.34959767186423,3.17910412562962
22.0999999999999,2.82467960465977,3.36512725864071,3.19319614303414
22.1999999999999,2.83633487751715,3.38063715834301,3.20725963490063
22.2999999999999,2.84796477991293,3.39612739109883,3.2212945756578
22.3999999999999,2.85956864509602,3.4115979769,3.23530093935978
22.4999999999999,2.87114600843745,3.42704893558721,3.24927869969292
22.5999999999999,2.88269654914261,3.4424802868559,3.26322782996439
22.6999999999999,2.89422005184459,3.45789205026651,3.27714830309838
22.7999999999999,2.90571638152566,3.47328424523932,3.29104009161537
22.8999999999999,2.9171854624918,3.4886568910294,3.30490316763421
22.9999999999999,2.92862726460562,3.5040100067052,3.31873750285886
23.0999999999999,2.94004179375511,3.51934361113435,3.33254306857755
23.1999999999999,2.95142908409645,3.5346577229563,3.34631983565966
23.2999999999999,2.96278919201572,3.54995236051242,3.36006777455281
23.3999999999999,2.97412219206525,3.56522754173302,3.3737868552789
23.4999999999999,2.98542817363665,3.58048328403315,3.38747704744902
23.5999999999999,2.9967072387731,3.59571960414476,3.4011383202618
23.6999999999999,3.00795949992474,3.61093651793067,3.4147706425131
23.7999999999999,3.01918507774781,3.62613404048968,3.42837398259969
23.8999999999999,3.03038410007543,3.64131218641749,3.44194830852061
23.9999999999999,3.04155670058371,3.65647096989344,3.45549358786517
24.0999999999999,3.05270301768858,3.67161040465209,3.46900978782666
24.1999999999999,3.06382319336096,3.68673050386099,3.48249687523872
24.2999999999999,3.07491737176516,3.70183128012677,3.49595481658466
24.3999999999999,3.08598569871275,3.71691274558794,3.50938357791121
24.4999999999999,3.09702832062484,3.73197491195245,3.52278312489691
24.5999999999999,3.10804538382815,3.74701779051134,3.53615342289382
24.6999999999999,3.11903703453867,3.76204139216335,3.54949443694191
24.7999999999999,3.13000341833672,3.77704572741479,3.56280613177524
